frame_idx,gt_id,class_name,x1,y1,x2,y2,occluded,difficult,reviewed,notes
10,f10_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
15,f15_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
30,f30_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
40,f40_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
45,f45_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
50,f50_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
60,f60_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
80,f80_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
90,f90_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
100,f100_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
150,f150_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
160,f160_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
180,f180_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
200,f200_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
220,f220_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
240,f240_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
250,f250_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
260,f260_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
280,f280_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
300,f300_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
320,f320_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
330,f330_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
350,f350_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
360,f360_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
380,f380_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
400,f400_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
420,f420_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
450,f450_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
480,f480_placeholder,not_target,,,,,False,False,False,placeholder — replace with real boxes via annotate_human_detection_gt.py
