video_name,frame_index,timestamp,frame_width,frame_height,ball_visible,ball_x1,ball_y1,ball_x2,ball_y2,occluded,difficult,annotator_notes,reviewed,stratum
football,11,0.44,1920,1080,True,1579.0,884.0,1579.0,884.0,,,,True,clear_visible
football,15,0.6,1920,1080,,,,,,,,,False,uniform_fill
football,18,0.72,1920,1080,,,,,,,,,False,clear_visible
football,29,1.16,1920,1080,,,,,,,,,False,uniform_fill
football,30,1.2,1920,1080,,,,,,,,,False,clear_visible
football,42,1.68,1920,1080,,,,,,,,,False,clear_visible
football,58,2.32,1920,1080,,,,,,,,,False,crowded_box
football,61,2.44,1920,1080,,,,,,,,,False,clear_visible
football,66,2.64,1920,1080,,,,,,,,,False,clear_visible
football,70,2.8,1920,1080,,,,,,,,,False,uniform_fill
football,78,3.12,1920,1080,,,,,,,,,False,crowded_box
football,84,3.36,1920,1080,,,,,,,,,False,camera_motion
football,87,3.48,1920,1080,,,,,,,,,False,crowded_box
football,89,3.56,1920,1080,,,,,,,,,False,clear_visible
football,91,3.64,1920,1080,,,,,,,,,False,clear_visible
football,94,3.76,1920,1080,,,,,,,,,False,camera_motion
football,95,3.8,1920,1080,,,,,,,,,False,crowded_box
football,97,3.88,1920,1080,,,,,,,,,False,crowded_box
football,98,3.92,1920,1080,,,,,,,,,False,uniform_fill
football,100,4.0,1920,1080,,,,,,,,,False,clear_visible
football,107,4.28,1920,1080,,,,,,,,,False,uniform_fill
football,110,4.4,1920,1080,,,,,,,,,False,clear_visible
football,112,4.48,1920,1080,,,,,,,,,False,clear_visible
football,117,4.68,1920,1080,,,,,,,,,False,camera_motion
football,121,4.84,1920,1080,,,,,,,,,False,crowded_box
football,122,4.88,1920,1080,,,,,,,,,False,uniform_fill
football,123,4.92,1920,1080,,,,,,,,,False,motion_blur
football,127,5.08,1920,1080,,,,,,,,,False,camera_motion
football,131,5.24,1920,1080,,,,,,,,,False,camera_motion
football,138,5.52,1920,1080,,,,,,,,,False,false_positive_risk
football,143,5.72,1920,1080,,,,,,,,,False,uniform_fill
football,145,5.8,1920,1080,,,,,,,,,False,uniform_fill
football,146,5.84,1920,1080,,,,,,,,,False,uniform_fill
football,151,6.04,1920,1080,,,,,,,,,False,small_distant
football,162,6.48,1920,1080,,,,,,,,,False,uniform_fill
football,163,6.52,1920,1080,,,,,,,,,False,uniform_fill
football,167,6.68,1920,1080,,,,,,,,,False,uniform_fill
football,168,6.72,1920,1080,,,,,,,,,False,uniform_fill
football,175,7.0,1920,1080,,,,,,,,,False,uniform_fill
football,177,7.08,1920,1080,,,,,,,,,False,motion_blur
football,178,7.12,1920,1080,,,,,,,,,False,small_distant
football,179,7.16,1920,1080,,,,,,,,,False,motion_blur
football,189,7.56,1920,1080,,,,,,,,,False,small_distant
football,191,7.64,1920,1080,,,,,,,,,False,uniform_fill
football,203,8.12,1920,1080,,,,,,,,,False,motion_blur
football,213,8.52,1920,1080,,,,,,,,,False,uniform_fill
football,231,9.24,1920,1080,,,,,,,,,False,small_distant
football,235,9.4,1920,1080,,,,,,,,,False,small_distant
football,238,9.52,1920,1080,,,,,,,,,False,small_distant
football,243,9.72,1920,1080,,,,,,,,,False,uniform_fill
football,248,9.92,1920,1080,,,,,,,,,False,small_distant
football,249,9.96,1920,1080,,,,,,,,,False,uniform_fill
football,257,10.28,1920,1080,,,,,,,,,False,crowded_box
football,258,10.32,1920,1080,,,,,,,,,False,false_positive_risk
football,264,10.56,1920,1080,,,,,,,,,False,false_positive_risk
football,271,10.84,1920,1080,,,,,,,,,False,uniform_fill
football,272,10.88,1920,1080,,,,,,,,,False,small_distant
football,276,11.04,1920,1080,,,,,,,,,False,motion_blur
football,278,11.12,1920,1080,,,,,,,,,False,uniform_fill
football,281,11.24,1920,1080,,,,,,,,,False,crowded_box
football,284,11.36,1920,1080,,,,,,,,,False,uniform_fill
football,286,11.44,1920,1080,,,,,,,,,False,uniform_fill
football,290,11.6,1920,1080,,,,,,,,,False,motion_blur
